event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,Q1 Red,Q2 Red,Q3 Red,Q4 ,Q5 Red,Q6 Red,Q7 Red,F1 Gold,F2 Silver,F3 Bronze,F4 Bronze,F5 Silver,F6 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,73,ISR,Israel,Maor Abu / Yam Wirtheim,ISRMA6 / ISRYW2,ISR 272,189,157,25,23,17,15,19,28,(32) BFD,3,22,5,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,74,GBR,Great Britain,Elliott Wells / Billy Vennis-Ozanne,GBREW28 / GBRBV4,GBR 130,190,158,24,26,2,29,20,15,(32) BFD,6,19,17,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,75,GER,Germany,Moritz Dorau / Riko Rockenbauch,GERRR26 / GERMD28,GER 875,190,161,11,7,26,(29),26,26,19,12,18,16,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,76,GER,Germany,Carl Christian Krause / Lennart Tolzmann,GERCK41 / GERLT12,GER 842,198,167,(31),27,24,11,28,26,30,1,14,6,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,77,DEN,Denmark,Carl Emil Sloth / Simon Christoffersen,DENCS21 / DENSC11,DEN 515,200,168,28,10,31,22,21,9,(32) BFD,18,17,12,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,78,ITA,Italy,Lorenzo Pezzilli / Tobia Torroni,ITATT17 / ITALP103,ITA 755,196,170,14,(26),22,19,16,23,22,11,20,23,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,79,GBR,Great Britain,Leo Wilkinson / Benjamin Bradley,GBRLW28 / GBRBB55,GBR 101,205,171,26,24,8,8,12,24,22,(34) BFD,25,22,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,80,GER,Germany,Simon Heindl / Conrad Jacobs,GERSH83 / GERCJ12,GER 363,201,174,26,18,15,17,(27),21,22,27,27,1,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,81,DEN,Denmark,Phillip Lyngbek / Carl Laurits Schouw Nielsen,DENCS23 / DENPL8,DEN 162,206,177,25,14,16,20,23,23,26,14,16,(29),-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,82,GER,Germany,Jesper Bahr / Fynn Kaufhold,GERJB105 / GERFK56,GER 187,204,177,(27),13,13,25,24,24,14,23,23,18,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,83,ITA,Italy,Seneca Renzo Veronelli / Alessandro  Veronelli,ITASV41 / ITAAV107,ITA 113,222,188,29,28,26,23,1,12,30,(34) BFD,24,15,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,84,DEN,Denmark,Loke Kise / Lauritz Schmidt,DENLS13 / DENLK10,DEN 320,222,188,26,18,23,21,18,28,14,19,21,(34) UFD,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,85,ESP,Spain,Conrad Konitzer / antonio torrado martinez,ESPAT19 / CANCK14,ESP 707,223,189,20,19,16,26,13,27,28,(34) BFD,29,11,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,86,GER,Germany,Matti Jip Balzereit / Simon  Schmidt,GERMB123 / GERSS100,GER 159,229,199,(30),17,29,30,22,19,20,26,28,8,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,87,GER,Germany,Franz Ferdinant Krause / Lars Rackow,GERLR41 / GERFK40,GER 488,229,200,23,22,(29),24,29,25,9,22,26,20,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,88,GER,Germany,,,GER 596,248,218,29,26,10,29,25,27,20,25,(30),27,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,89,BER,Bermuda,Jan Van Maercke / Leonard De Silva,BELJV23 / BERLD2,BEL 339,261,230,30,29,21,23,16,27,28,28,(31),28,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,90,GBR,Great Britain,Colin Rawlinson / Garry Dobson,GBRGD38 / GBRCR84,GBR 689,295,263,29,30,30,30,30,30,25,29,(32),30,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,91,NED,Netherlands,Olaf Ganzevles / Stijn Gast,NEDOG2 / NEDSG7,NED 869,322,288,31 DNC,31 DNC,31 DNC,31 DNC,32 DNC,32 DNC,32 DNC,(34) DNC,34 DNC,34 DNC,-,-,-
